Plant name,Roi,Area,Color,Nod.Strain,numNods in r = 100,num Red  Nods in r = 100,num Green  Nods in r = 100,numNods in r = 150,num Red  Nods in r = 150,num Green  Nods in r = 150,numNods in r = 250,num Red  Nods in r = 250,num Green  Nods in r = 250,numNods in r = 500,num Red  Nods in r = 500,num Green  Nods in r = 500,numNods in r = 1000,num Red  Nods in r = 1000,num Green  Nods in r = 1000,distance to closest nodule,distance to closest Red  nodule,distance to closest Green  nodule,closest color type,mean distance,mean distance to Red  nodules,mean distance to Green  nodules
null,1.0,3074,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,18.0,15.0,3.0,178.0,178.0,671.0,Red,1592.312,1529.171,1784.478
null,2.0,632,Red,Red ,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,21.0,18.0,3.0,123.0,123.0,570.0,Red,1492.892,1430.271,1683.478
null,3.0,3773,Red,Red ,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,22.0,19.0,3.0,123.0,123.0,511.0,Red,1434.032,1371.457,1624.478
null,4.0,7187,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,11.0,10.0,1.0,17.0,14.0,3.0,193.0,193.0,193.0,Red,1104.245,990.368,1392.733
null,5.0,16213,Red,Red ,1.0,0.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,6.0,5.0,1.0,21.0,18.0,3.0,0.0,126.0,0.0,Green,997.189,906.921,1225.867
null,6.0,464,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,171.0,339.0,171.0,Green,1694.077,1758.605,1518.929
null,7.001,3194,Red,Red ,1.0,1.0,0.0,3.0,2.0,1.0,4.0,3.0,1.0,7.0,5.0,2.0,30.0,27.0,3.0,74.0,74.0,126.0,Red,937.604,858.816,1137.2
null,7.002,3309,Red,Red ,1.0,1.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,7.0,5.0,2.0,32.0,29.0,3.0,74.0,74.0,178.0,Red,941.83,867.026,1131.333
null,8.0,2884,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,12.0,10.0,2.0,339.0,339.0,432.0,Red,1396.212,1451.895,1245.071
null,9.0,8671,Red,Red ,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,8.0,5.0,3.0,37.0,32.0,5.0,138.0,138.0,304.0,Red,845.679,795.632,972.467
null,10.0,6032,Red,Red ,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,9.0,6.0,3.0,40.0,29.0,11.0,138.0,138.0,200.0,Red,798.585,765.526,882.333
null,11.0,1045,Red,Red ,0.0,0.0,0.0,1.0,1.0,0.0,5.0,4.0,1.0,18.0,14.0,4.0,37.0,28.0,9.0,110.0,110.0,244.0,Red,947.833,994.088,772.067
null,12.001,4654,Red,Red ,1.0,1.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,13.0,9.0,4.0,28.0,17.0,11.0,91.0,91.0,435.0,Red,957.885,1050.921,705.357
null,12.002,4362,Red,Red ,1.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,9.0,9.0,0.0,26.0,15.0,11.0,62.0,62.0,508.0,Red,1027.519,1119.316,778.357
null,12.003,5417,Red,Red ,0.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,21.0,14.0,7.0,40.0,28.0,12.0,110.0,110.0,318.0,Red,928.48,986.614,744.389
null,12.004,6742,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,10.0,1.0,33.0,20.0,13.0,169.0,169.0,341.0,Red,892.692,955.921,721.071
null,12.005,4868,Red,Red ,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,10.0,9.0,1.0,27.0,16.0,11.0,62.0,62.0,494.0,Red,1013.788,1105.684,764.357
null,12.006,8006,Red,Red ,0.0,0.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,14.0,10.0,4.0,31.0,19.0,12.0,131.0,131.0,388.0,Red,897.365,975.526,685.214
null,13.0,53697,Red,Red ,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0,9.0,1.0,31.0,19.0,12.0,131.0,131.0,485.0,Red,992.5,1069.974,782.214
null,14.001,2929,Red,Red ,1.0,1.0,0.0,1.0,1.0,0.0,7.0,7.0,0.0,13.0,13.0,0.0,13.0,13.0,0.0,48.0,48.0,No Path,Red,276.769,276.769,N/A
