Plant.ID,ROI.ID,SingleorCluster,Area,Color,Red.Pixel.Count,Green.Pixel.Count,circularity,ROI.ID.full,Planting.group,Species,Domestication,Accession,Rhizobia,N.treatment,Shade,Block,Position,random,Nodule.notes,Shoot.weight,Date,Roots.,Flowers,Pods,Stems,Notes,Percent.Green,Percent.Red,Nod.Strain,Nod.Strain.L,Percent.FixPlus,Percent.FixMinus,Rhizobia.L,Rhizobia.combined
PS001,1,Single,3102,Red,3102,0,0.789462816,PS001_Red_1,G7,elat,Wild,E1,Fix+,HN,50%,B1,P1,0.125250308,,0.4595,1/27/2023,n,0.0,0,1.0,,0.0,100.0,Fix+,FixPlus,100.0,0.0,FixPlus,Fix+
PS001,17,Single,1778,Green,0,1778,0.799263655,PS001_Green_17,G7,elat,Wild,E1,Fix+,HN,50%,B1,P1,0.125250308,,0.4595,1/27/2023,n,0.0,0,1.0,,100.0,0.0,Fix+,FixPlus,100.0,0.0,FixPlus,Fix+
PS003,1,Single,2448,Red,2448,0,0.796286665,PS003_Red_1,G20,elat,Wild,E1,Mix2,LN,50%,B1,P3,0.842702493,,0.5488,1/27/2023,n,0.0,0,1.0,,0.0,100.0,Fix+,FixPlus,100.0,0.0,MixTwo,Mixed
PS003,26,Single,5651,Green,0,5651,0.627388532,PS003_Green_26,G20,elat,Wild,E1,Mix2,LN,50%,B1,P3,0.842702493,,0.5488,1/27/2023,n,0.0,0,1.0,,100.0,0.0,Fix-,FixMinus,0.0,100.0,MixTwo,Mixed
PS004,1,Single,408,Red,408,0,0.864472222,PS004_Red_1,G18,sat,Domesticated,S1,Mix1,LN,50%,B1,P4,0.297169556,,0.5888,1/27/2023,n,0.0,0,1.0,,0.0,100.0,Fix-,FixMinus,0.0,100.0,MixOne,Mixed
PS004,60,Single,1081,Green,0,1081,0.824375683,PS004_Green_60,G18,sat,Domesticated,S1,Mix1,LN,50%,B1,P4,0.297169556,,0.5888,1/27/2023,n,0.0,0,1.0,,100.0,0.0,Fix+,FixPlus,100.0,0.0,MixOne,Mixed
PS007,1,Single,5587,Red,5587,0,0.72712321,PS007_Red_1,G11,sat,Domesticated,S1,Fix+,HN,50%,B1,P7,0.748010325,,0.6866,1/27/2023,y,1.0,0,1.0,flower was not listed on envelope,0.0,100.0,Fix+,FixPlus,100.0,0.0,FixPlus,Fix+
PS007,21,Single,2692,Green,0,2692,0.797436128,PS007_Green_21,G11,sat,Domesticated,S1,Fix+,HN,50%,B1,P7,0.748010325,,0.6866,1/27/2023,y,1.0,0,1.0,flower was not listed on envelope,100.0,0.0,Fix+,FixPlus,100.0,0.0,FixPlus,Fix+
PS008,1,Single,4054,Red,4054,0,0.761833941,PS008_Red_1,G19,elat,Wild,E1,Mix2,HN,50%,B1,P8,0.185691336,,0.5128,1/27/2023,n,0.0,0,1.0,,0.0,100.0,Fix+,FixPlus,100.0,0.0,MixTwo,Mixed
PS008,22,Single,989,Green,0,989,0.898046865,PS008_Green_22,G19,elat,Wild,E1,Mix2,HN,50%,B1,P8,0.185691336,,0.5128,1/27/2023,n,0.0,0,1.0,,100.0,0.0,Fix-,FixMinus,0.0,100.0,MixTwo,Mixed
PS012,1,Single,586,Red,586,0,0.890980162,PS012_Red_1,G23,sat,Domesticated,S1,Mix2,HN,50%,B1,P12,0.471260875,,0.6043,2/1/2023,y,1.0,0,1.0,,0.0,100.0,Fix+,FixPlus,100.0,0.0,MixTwo,Mixed
PS012,33,Single,714,Green,0,714,0.895746624,PS012_Green_33,G23,sat,Domesticated,S1,Mix2,HN,50%,B1,P12,0.471260875,,0.6043,2/1/2023,y,1.0,0,1.0,,100.0,0.0,Fix-,FixMinus,0.0,100.0,MixTwo,Mixed
PS013,1,Single,585,Red,585,0,0.88278302,PS013_Red_1,G12,sat,Domesticated,S1,Fix+,LN,50%,B1,P13,0.893170093,,0.3898,2/1/2023,n,0.0,1,1.0,,0.0,100.0,Fix+,FixPlus,100.0,0.0,FixPlus,Fix+
PS013,21,Single,1916,Green,0,1916,0.75849577,PS013_Green_21,G12,sat,Domesticated,S1,Fix+,LN,50%,B1,P13,0.893170093,,0.3898,2/1/2023,n,0.0,1,1.0,,100.0,0.0,Fix+,FixPlus,100.0,0.0,FixPlus,Fix+
PS014,1,Single,802,Red,802,0,0.683862108,PS014_Red_1,G17,sat,Domesticated,S1,Mix1,HN,50%,B1,P14,0.681113382,,0.6192,2/1/2023,y,0.0,1,1.0,,0.0,100.0,Fix-,FixMinus,0.0,100.0,MixOne,Mixed
PS014,23,Single,300,Green,0,300,0.808518127,PS014_Green_23,G17,sat,Domesticated,S1,Mix1,HN,50%,B1,P14,0.681113382,,0.6192,2/1/2023,y,0.0,1,1.0,,100.0,0.0,Fix+,FixPlus,100.0,0.0,MixOne,Mixed
PS015,1,Single,631,Red,631,0,0.659635859,PS015_Red_1,G5,sat,Domesticated,S1,Fix-,HN,50%,B1,P15,0.482216501,,0.445,2/1/2023,y,0.0,1,1.0,,0.0,100.0,Fix-,FixMinus,0.0,100.0,FixMinus,Fix-
PS015,35,Single,1991,Green,0,1991,0.811572635,PS015_Green_35,G5,sat,Domesticated,S1,Fix-,HN,50%,B1,P15,0.482216501,,0.445,2/1/2023,y,0.0,1,1.0,,100.0,0.0,Fix-,FixMinus,0.0,100.0,FixMinus,Fix-
