Plant.ID,Planting.group,Species,Domestication,Accession,Rhizobia,N.treatment,Shade,Block,Position,random,Nodule.notes,Shoot.weight,Date,Roots.,Flowers,Pods,Stems,Notes
PS001,G7,elat,Wild,E1,Fix+,HN,50%,B1,P1,0.125250308,,0.4595,1/27/2023,n,0.0,0,1.0,
PS003,G20,elat,Wild,E1,Mix2,LN,50%,B1,P3,0.842702493,,0.5488,1/27/2023,n,0.0,0,1.0,
PS004,G18,sat,Domesticated,S1,Mix1,LN,50%,B1,P4,0.297169556,,0.5888,1/27/2023,n,0.0,0,1.0,
PS007,G11,sat,Domesticated,S1,Fix+,HN,50%,B1,P7,0.748010325,,0.6866,1/27/2023,y,1.0,0,1.0,flower was not listed on envelope
PS008,G19,elat,Wild,E1,Mix2,HN,50%,B1,P8,0.185691336,,0.5128,1/27/2023,n,0.0,0,1.0,
PS012,G23,sat,Domesticated,S1,Mix2,HN,50%,B1,P12,0.471260875,,0.6043,2/1/2023,y,1.0,0,1.0,
PS013,G12,sat,Domesticated,S1,Fix+,LN,50%,B1,P13,0.893170093,,0.3898,2/1/2023,n,0.0,1,1.0,
PS014,G17,sat,Domesticated,S1,Mix1,HN,50%,B1,P14,0.681113382,,0.6192,2/1/2023,y,0.0,1,1.0,
PS015,G5,sat,Domesticated,S1,Fix-,HN,50%,B1,P15,0.482216501,,0.445,2/1/2023,y,0.0,1,1.0,
PS016,G1,elat,Wild,E1,Fix-,HN,50%,B1,P16,0.872831079,,0.3498,2/1/2023,n,0.0,0,1.0,
PS017,G8,elat,Wild,E1,Fix+,LN,50%,B1,P17,0.808476261,,0.3919,2/1/2023,y,0.0,0,1.0,
PS022,G24,sat,Domesticated,S1,Mix2,LN,50%,B1,P22,0.564726132,,0.4445,2/1/2023,y,0.0,1,1.0,
PS023,G13,elat,Wild,E1,Mix1,HN,50%,B1,P23,0.233544872,,0.5031,2/1/2023,n,0.0,0,1.0,
PS024,G2,elat,Wild,E1,Fix-,LN,50%,B1,P24,0.215120574,,0.1644,2/1/2023,n,0.0,0,1.0,
PS027,G14,elat,Wild,E1,Mix1,LN,50%,B1,P27,0.085764964,,0.2997,2/1/2023,y,0.0,0,1.0,
PS029,G6,sat,Domesticated,S1,Fix-,LN,50%,B1,P29,0.230664145,,0.3941,2/1/2023,n,0.0,1,1.0,
PS032,G14,elat,Wild,E1,Mix1,LN,NS,B1,P32,0.212182135,,0.1982,10/28/2022,n,0.0,0,1.0,
PS033,G17,sat,Domesticated,S1,Mix1,HN,NS,B1,P33,0.471617727,,1.011,10/28/2022,y,1.0,1,1.0,
PS034,G7,elat,Wild,E1,Fix+,HN,NS,B1,P34,0.517484841,,0.3575,10/28/2022,n,0.0,0,1.0,
PS038,G19,elat,Wild,E1,Mix2,HN,NS,B1,P38,0.943210659,,0.3861,10/28/2022,n,0.0,0,1.0,
PS042,G8,elat,Wild,E1,Fix+,LN,NS,B1,P42,0.896448232,,0.1379,10/28/2022,n,0.0,0,1.0,
PS043,G18,sat,Domesticated,S1,Mix1,LN,NS,B1,P43,0.050153843,,0.5634,10/28/2022,n,0.0,1,1.0,
PS044,G6,sat,Domesticated,S1,Fix-,LN,NS,B1,P44,0.85861717,,0.5046,10/28/2022,n,0.0,1,1.0,
PS046,G20,elat,Wild,E1,Mix2,LN,NS,B1,P46,0.959034216,,0.5272,10/28/2022,y,0.0,0,1.0,
PS048,G5,sat,Domesticated,S1,Fix-,HN,NS,B1,P48,0.239575927,,0.8933,10/28/2022,y,1.0,1,1.0,
PS049,G2,elat,Wild,E1,Fix-,LN,NS,B1,P49,0.951588097,,0.2507,10/28/2022,n,0.0,0,1.0,
PS055,G13,elat,Wild,E1,Mix1,HN,NS,B1,P55,0.696413033,,0.436,10/28/2022,n,,0,1.0,
PS056,G23,sat,Domesticated,S1,Mix2,HN,NS,B1,P56,0.579176476,,0.8204,10/28/2022,n,1.0,1,1.0,
PS057,G1,elat,Wild,E1,Fix-,HN,NS,B1,P57,0.683596175,,0.3096,10/28/2022,n,0.0,0,1.0,
PS062,G6,sat,Domesticated,S2,Fix-,LN,50%,B2,P2,0.752469138,,0.5016,12/16/2022,n,1.0,1,1.0,
PS065,G17,sat,Domesticated,S2,Mix1,HN,50%,B2,P5,0.97223719,,0.6269,12/16/2022,y,1.0,1,1.0,
PS067,G11,sat,Domesticated,S2,Fix+,HN,50%,B2,P7,0.433676411,,0.6958,12/16/2022,y,0.0,1,1.0,
PS068,G1,elat,Wild,E2,Fix-,HN,50%,B2,P8,0.789096035,,0.4581,12/16/2022,y,0.0,1,1.0,
PS074,G24,sat,Domesticated,S2,Mix2,LN,50%,B2,P14,0.258179228,,0.5367,1/27/2023,n,1.0,1,1.0,
PS075,G22,ful,Wild,F2,Mix2,LN,50%,B2,P15,0.691038264,,0.1888,1/27/2023,n,1.0,0,1.0,
